common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,sex,fr,order,family,genus,species,habitat,Where measured,log_Mb,log_fr,habitat,breath_rate,temp,location
California sea lion, CHILLI,F,69,15,5,2,DolphinCo-ZooMarine,24,69,F,3,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,1.839,0.477,semiaquatic,2.999162519,29.3,water
California sea lion, CHILLI,F,69,18,5,2,DolphinCo-ZooMarine,24,69,F,3.6,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,1.839,0.556,semiaquatic,3.597493352,23.4,water
California sea lion, CHILLI,F,69,14,5,2,DolphinCo-ZooMarine,24,69,F,2.8,Carnivora,Otariidae,Zalophus,californianus,semiaquatic,water,1.839,0.447,semiaquatic,2.79898132,26.4,water
Harbor porpoise,B,F,36.2,12,5,3,Fjord&Baelt,4,36.2,F,2.4,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.559,0.38,aquatic,2.398832919,17,water
Harbor porpoise,A,F,67.6,11,5,2,Fjord&Baelt,28,67.6,F,2.2,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.83,0.342,aquatic,2.197859873,16,water
Harbor porpoise,A,F,67.6,15,5,2,Fjord&Baelt,28,67.6,F,3,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.83,0.477,aquatic,2.999162519,15,water
Harbor porpoise,A,F,67.6,14,5,2,Fjord&Baelt,28,67.6,F,2.8,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.83,0.447,aquatic,2.79898132,17,water
Harbor porpoise,A,F,67.6,14,5,3,Fjord&Baelt,28,67.6,F,2.8,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.83,0.447,aquatic,2.79898132,20,water
Harbor porpoise,A,F,67.6,14,5,2,Fjord&Baelt,28,67.6,F,2.8,Artiodactyla,Phocoenidae,Phocoena,phocoena,aquatic,water,1.83,0.447,aquatic,2.79898132,21,water
Harbour seal ,ACE,M,97,14,5,2,DolphinCo-MSQ,18,97,M,2.8,Carnivora,Phocidae,Phoca,vitulina,semiaquatic,water,1.987,0.447,semiaquatic,2.79898132,26,water
