log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.982,2,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,9.594006315,100,F,1,Dune,Addax Antelope,5,14.4,Air
1.079,2,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.99499303,100,F,1,Dune,Addax Antelope,5,14.4,Air
1.057,2,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.40249788,100,F,1,Dune,Addax Antelope,5,14.4,Air
1.07,2,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.74897555,100,F,1,Dune,Addax Antelope,5,14.8,Air
0.871,2.041,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,7.430191379,110,M,1,Leon,Addax Antelope,7,14.4,Air
1.072,2.041,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.80320636,110,M,2,Leon,Addax Antelope,7,14.4,Air
1.009,2.041,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,10.20939484,110,M,2,Leon,Addax Antelope,7,14.4,Air
1.054,2.041,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.32400363,110,M,2,Leon,Addax Antelope,7,14.8,Air
1.176,1.987,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,14.99684836,97,F,1,Tärna,Addax Antelope,6,12,Air
1.204,1.987,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,15.99558029,97,F,1,Tärna,Addax Antelope,6,12,Air
1.067,1.954,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.66809617,90,F,1,Tärna,Addax Antelope,7,14.4,Air
1.057,1.954,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.40249788,90,F,1,Tärna,Addax Antelope,7,14.4,Air
0.964,1.954,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,9.204495718,90,F,1,Tärna,Addax Antelope,7,14.4,Air
1.054,1.954,Terrestrial,Artiodactyla,Bovidae,Addax,nasomaculatus,11.32400363,90,F,1,Tärna,Addax Antelope,7,14.8,Air
1.391,1.915,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,24.60367604,82.2,M,2,Al,Alpaca,7,21,Air
1.373,1.915,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,23.60478233,82.2,M,2,Al,Alpaca,7,19,Air
1.322,1.915,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,20.98939884,82.2,M,2,Al,Alpaca,7,19,Air
1.23,1.852,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,16.98243652,71.2,M,2,Chicco,Alpaca,4,21,Air
1.354,1.852,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,22.5943577,71.2,M,2,Chicco,Alpaca,4,19,Air
1.279,1.852,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,19.0107828,71.2,M,2,Chicco,Alpaca,4,19,Air
1.441,1.844,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,27.60577856,69.9,F,2,Niobe,Alpaca,11,21,Air
1.369,1.844,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,23.38837239,69.9,F,2,Niobe,Alpaca,11,19,Air
1.334,1.844,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,21.57744409,69.9,F,2,Niobe,Alpaca,11,19,Air
1.655,1.759,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,45.18559444,57.35,F,2,Paca,Alpaca,2,21,Air
1.5,1.759,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,31.6227766,57.35,F,2,Paca,Alpaca,2,19,Air
1.516,1.759,Terrestrial,Artiodactyla,Camelidae,Vicugna,pacos,32.80952931,57.35,F,2,Paca,Alpaca,2,19,Air
0.869,2.763,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,7.396052751,580,F,1,Nasta,Bactarian Camel,19,1,Air
0.869,2.763,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,7.396052751,580,F,1,Nasta,Bactarian Camel,19,1,Air
1.127,2.81,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,13.39676687,645,F,1,Ranja,Bactarian Camel,6,1,Air
1.152,2.81,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,14.19057522,645,F,1,Ranja,Bactarian Camel,6,1,Air
1.1,2.81,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,12.58925412,645,F,1,Ranja,Bactarian Camel,6,1,Air
0.982,2.811,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,9.594006315,647,F,1,Temma,Bactarian Camel,22,1,Air
0.845,2.811,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,6.99841996,647,F,1,Temma,Bactarian Camel,22,3,Air
1.017,2.919,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,10.39920166,830,M,1,Torkel,Bactarian Camel,13,1,Air
1,2.919,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,10,830,M,1,Torkel,Bactarian Camel,13,3,Air
1.041,2.806,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,10.99005839,639,F,1,Tulio,Bactarian Camel,8,1,Air
1.134,2.81,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,13.61444682,645,F,1,Victorias,Bactarian Camel,19,1,Air
1.127,2.81,Terrestrial,Artiodactyla,Camelidae,Camelus,bactrianus,13.39676687,645,F,1,Victorias,Bactarian Camel,19,1,Air
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,1,Yulka,Beluga,33,15.1,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,2,Yulka,Beluga,33,15,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,2,Yulka,Beluga,33,19,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,1,Yulka,Beluga,33,19,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,3,Yulka,Beluga,33,18,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,3,Yulka,Beluga,33,18,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,1,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,2,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,864.83,F,3,Yulka,Beluga,33,16,Water
0.146,2.937,Aquatic,Artiodactyla,Monodontidae,Delphinapterus,leucas,1.399587323,865.83,F,3,Yulka,Beluga,33,16,Water
0.146,2.316,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,207,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.316,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,207,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,205,M,2,Achille,Bottlenose Dolphin,21,24.5,Water
0.079,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,205,M,1,Achille,Bottlenose Dolphin,21,24.5,Water
0.204,2.312,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,205,M,1,Achille,Bottlenose Dolphin,21,24.6,Water
0.255,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,182,M,2,Al,Bottlenose Dolphin,36,29,Water
0.204,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,182,M,1,Al,Bottlenose Dolphin,36,29,Water
0.079,2.26,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,182,M,1,Al,Bottlenose Dolphin,36,29,Water
0.368,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.333458062,124,F,1,Alana,Bottlenose Dolphin,5,22,Water
0.38,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,124,F,2,Alana,Bottlenose Dolphin,5,22,Water
0.204,2.093,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,124,F,1,Alana,Bottlenose Dolphin,5,22,Water
