common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
Bactarian camel,Nasta,F,580,37,5,1,Kolmarden,19,580,7.4,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.763,0.869,7.396052751,1.0,air
Bactarian camel,Nasta,F,580,37,5,1,Kolmarden,19,580,7.4,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.763,0.869,7.396052751,1.0,air
Bactarian camel,Ranja,F,645,67,5,1,Kolmarden,6,645,13.4,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.81,1.127,13.39676687,1.0,air
Bactarian camel,Ranja,F,645,71,5,1,Kolmarden,6,645,14.2,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.81,1.152,14.19057522,1.0,air
Bactarian camel,Ranja,F,645,63,5,1,Kolmarden,6,645,12.6,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.81,1.1,12.58925412,1.0,air
Bactarian camel,Temma,F,647,48,5,1,Kolmarden,22,647,9.6,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.811,0.982,9.594006315,1.0,air
Bactarian camel,Temma,F,647,14,2,1,Kolmarden,22,647,7,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.811,0.845,6.99841996,3.0,air
Bactarian camel,Torkel,M,830,52,5,1,Kolmarden,13,830,10.4,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.919,1.017,10.39920166,1.0,air
Bactarian camel,Torkel,M,830,30,3,1,Kolmarden,13,830,10,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.919,1,10,3.0,air
Bactarian camel,Tulio,F,639,55,5,1,Kolmarden,8,639,11,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.806,1.041,10.99005839,1.0,air
Bactarian camel,Victorias,F,645,68,5,1,Kolmarden,19,645,13.6,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.81,1.134,13.61444682,1.0,air
Bactarian camel,Victorias,F,645,67,5,1,Kolmarden,19,645,13.4,Artiodactyla,Camelidae, Camelus,bactrianus,terrestrial,2.81,1.127,13.39676687,1.0,air
Capybara,Capytan,F,43,155,3.5,1,Kolmarden,1,43,44.3,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.633,1.646,44.25883724,15.0,air
Capybara,Capytan,F,43,118,3,1,Kolmarden,1,43,39.3,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.633,1.595,39.35500755,15.0,air
Capybara,Capytan,F,43,117,3.5,1,Kolmarden,1,43,33.4,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.633,1.524,33.419504,14.4,air
Capybara,Kenneth,M,55,114,5,1,Kolmarden,5,55,22.8,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.74,1.358,22.80342072,15.0,air
Capybara,Kenneth,M,55,103,3.5,1,Kolmarden,5,55,29.4,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.74,1.469,29.44421634,15.0,air
Capybara,Kenneth,M,55,165,5,1,Kolmarden,5,55,33,Rodentia,Caviidae, Hydrochoerus,hydrochaeris,terrestrial,1.74,1.519,33.0369541,14.4,air
